ward_2022,group,count_2020
Cudahy - C 0014,vap_two,26
Cudahy - C 0014,vap_white,883
Cudahy - C 0015,vap,1149
Cudahy - C 0015,vap_aian,5
Cudahy - C 0015,vap_asian,25
Cudahy - C 0015,vap_black,22
Cudahy - C 0015,vap_hisp,83
Cudahy - C 0015,vap_nhpi,0
Cudahy - C 0015,vap_other,3
Cudahy - C 0015,vap_two,29
Cudahy - C 0015,vap_white,982
Fox Point - V 0001,vap,480
Fox Point - V 0001,vap_aian,1
Fox Point - V 0001,vap_asian,24
Fox Point - V 0001,vap_black,10
Fox Point - V 0001,vap_hisp,11
Fox Point - V 0001,vap_nhpi,0
Fox Point - V 0001,vap_other,1
Fox Point - V 0001,vap_two,10
Fox Point - V 0001,vap_white,423
Fox Point - V 0002,vap,614
Fox Point - V 0002,vap_aian,0
Fox Point - V 0002,vap_asian,24
Fox Point - V 0002,vap_black,9
Fox Point - V 0002,vap_hisp,15
Fox Point - V 0002,vap_nhpi,0
Fox Point - V 0002,vap_other,4
Fox Point - V 0002,vap_two,18
Fox Point - V 0002,vap_white,544
Fox Point - V 0003,vap,647
Fox Point - V 0003,vap_aian,0
Fox Point - V 0003,vap_asian,12
Fox Point - V 0003,vap_black,14
Fox Point - V 0003,vap_hisp,16
Fox Point - V 0003,vap_nhpi,0
Fox Point - V 0003,vap_other,0
Fox Point - V 0003,vap_two,16
Fox Point - V 0003,vap_white,589
Fox Point - V 0004,vap,633
Fox Point - V 0004,vap_aian,0
Fox Point - V 0004,vap_asian,29
Fox Point - V 0004,vap_black,44
Fox Point - V 0004,vap_hisp,48
Fox Point - V 0004,vap_nhpi,4
Fox Point - V 0004,vap_other,3
Fox Point - V 0004,vap_two,17
Fox Point - V 0004,vap_white,488
Fox Point - V 0005,vap,584
Fox Point - V 0005,vap_aian,0
Fox Point - V 0005,vap_asian,32
Fox Point - V 0005,vap_black,14
Fox Point - V 0005,vap_hisp,19
Fox Point - V 0005,vap_nhpi,0
Fox Point - V 0005,vap_other,6
Fox Point - V 0005,vap_two,8
Fox Point - V 0005,vap_white,505
Fox Point - V 0006,vap,494
Fox Point - V 0006,vap_aian,2
Fox Point - V 0006,vap_asian,10
Fox Point - V 0006,vap_black,5
Fox Point - V 0006,vap_hisp,13
Fox Point - V 0006,vap_nhpi,0
Fox Point - V 0006,vap_other,5
Fox Point - V 0006,vap_two,11
Fox Point - V 0006,vap_white,448
Fox Point - V 0007,vap,621
Fox Point - V 0007,vap_aian,0
Fox Point - V 0007,vap_asian,8
Fox Point - V 0007,vap_black,14
Fox Point - V 0007,vap_hisp,23
Fox Point - V 0007,vap_nhpi,0
