ward_2011,group,count_2010,est_2012,est_2014,est_2016,est_2018,count_2020
Cudahy - C 12,vap_black,20,24.8,29.6,34.4,39.2,44
Cudahy - C 12,vap_hisp,79,93.4,107.8,122.19999999999999,136.6,151
Cudahy - C 12,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 12,vap_other,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Cudahy - C 12,vap_two,5,11.600000000000001,18.200000000000003,24.8,31.400000000000002,38
Cudahy - C 12,vap_white,973,953.2,933.4,913.6,893.8,874
Cudahy - C 13,vap,570,568.6,567.2,565.8,564.4,563
Cudahy - C 13,vap_aian,4,4,4,4,4,4
Cudahy - C 13,vap_asian,12,11.2,10.4,9.6,8.8,8
Cudahy - C 13,vap_black,10,10.6,11.2,11.8,12.4,13
Cudahy - C 13,vap_hisp,42,39.4,36.8,34.2,31.6,29
Cudahy - C 13,vap_nhpi,0,0,0,0,0,0
Cudahy - C 13,vap_other,0,1,2,3,4,5
Cudahy - C 13,vap_two,6,7.6,9.2,10.8,12.4,14
Cudahy - C 13,vap_white,496,494.8,493.6,492.4,491.2,490
Cudahy - C 14,vap,1379,1371.2,1363.4,1355.6,1347.8,1340
Cudahy - C 14,vap_aian,7,6,5,4,3,2
Cudahy - C 14,vap_asian,31,32.2,33.4,34.6,35.8,37
Cudahy - C 14,vap_black,9,12.8,16.6,20.4,24.200000000000003,28
Cudahy - C 14,vap_hisp,52,63.2,74.4,85.6,96.80000000000001,108
Cudahy - C 14,vap_nhpi,0,0,0,0,0,0
Cudahy - C 14,vap_other,0,0.2,0.4,0.6,0.8,1
Cudahy - C 14,vap_two,10,13.6,17.2,20.799999999999997,24.4,28
Cudahy - C 14,vap_white,1270,1243.2,1216.4,1189.6,1162.8,1136
Cudahy - C 15,vap,1196,1193.2,1190.4,1187.6,1184.8,1182
Cudahy - C 15,vap_aian,4,3.8,3.6,3.4,3.2,3
Cudahy - C 15,vap_asian,20,19.2,18.4,17.6,16.8,16
Cudahy - C 15,vap_black,16,16.8,17.6,18.4,19.2,20
Cudahy - C 15,vap_hisp,50,63.8,77.6,91.4,105.2,119
Cudahy - C 15,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 15,vap_other,0,0.2,0.4,0.6,0.8,1
Cudahy - C 15,vap_two,12,18.2,24.4,30.599999999999998,36.8,43
Cudahy - C 15,vap_white,1093,1070.4,1047.8,1025.2,1002.6,980
Cudahy - C 2,vap,697,696.6,696.2,695.8,695.4,695
Cudahy - C 2,vap_aian,5,5.8,6.6,7.4,8.2,9
Cudahy - C 2,vap_asian,3,4.6,6.2,7.8,9.4,11
Cudahy - C 2,vap_black,19,17.8,16.6,15.4,14.2,13
Cudahy - C 2,vap_hisp,53,57.4,61.8,66.2,70.6,75
Cudahy - C 2,vap_nhpi,0,0,0,0,0,0
Cudahy - C 2,vap_other,0,0.4,0.8,1.2,1.6,2
Cudahy - C 2,vap_two,4,8,12,16,20,24
Cudahy - C 2,vap_white,613,602.6,592.2,581.8,571.4,561
Cudahy - C 3,vap,717,720.8,724.6,728.4,732.2,736
Cudahy - C 3,vap_aian,4,3.6,3.2,2.8,2.4,2
Cudahy - C 3,vap_asian,2,3.2,4.4,5.6,6.800000000000001,8
Cudahy - C 3,vap_black,8,8.2,8.4,8.6,8.8,9
Cudahy - C 3,vap_hisp,45,52.4,59.8,67.2,74.6,82
Cudahy - C 3,vap_nhpi,0,0,0,0,0,0
Cudahy - C 3,vap_other,0,0.2,0.4,0.6,0.8,1
Cudahy - C 3,vap_two,2,8.2,14.4,20.599999999999998,26.8,33
Cudahy - C 3,vap_white,656,645,634,623,612,601
Cudahy - C 4,vap,936,932.4,928.8,925.2,921.6,918
Cudahy - C 4,vap_aian,17,14.6,12.2,9.8,7.399999999999999,5
Cudahy - C 4,vap_asian,6,7.4,8.8,10.2,11.600000000000001,13
Cudahy - C 4,vap_black,33,34,35,36,37,38
Cudahy - C 4,vap_hisp,109,120,131,142,153,164
Cudahy - C 4,vap_nhpi,0,0,0,0,0,0
Cudahy - C 4,vap_other,0,0.2,0.4,0.6,0.8,1
Cudahy - C 4,vap_two,5,6.4,7.800000000000001,9.2,10.600000000000001,12
Cudahy - C 4,vap_white,766,749.8,733.6,717.4,701.2,685
Cudahy - C 5,vap,960,962.4,964.8,967.2,969.6,972
Cudahy - C 5,vap_aian,6,7.6,9.2,10.8,12.4,14
Cudahy - C 5,vap_asian,17,14.8,12.6,10.4,8.2,6
Cudahy - C 5,vap_black,13,14.6,16.2,17.8,19.4,21
Cudahy - C 5,vap_hisp,73,85,97,109,121,133
Cudahy - C 5,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 5,vap_other,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Cudahy - C 5,vap_two,10,14.2,18.4,22.6,26.8,31
Cudahy - C 5,vap_white,840,824.8,809.6,794.4,779.2,764
Cudahy - C 6,vap,872,871.4,870.8,870.2,869.6,869
Cudahy - C 6,vap_aian,7,6.8,6.6,6.4,6.2,6
Cudahy - C 6,vap_asian,19,19.8,20.6,21.4,22.2,23
Cudahy - C 6,vap_black,9,12,15,18,21,24
Cudahy - C 6,vap_hisp,46,61.6,77.2,92.8,108.4,124
Cudahy - C 6,vap_nhpi,0,0,0,0,0,0
Cudahy - C 6,vap_other,0,0.2,0.4,0.6,0.8,1
Cudahy - C 6,vap_two,12,15.2,18.4,21.6,24.8,28
Cudahy - C 6,vap_white,779,755.8,732.6,709.4,686.2,663
Cudahy - C 7,vap,1024,1057,1090,1123,1156,1189
Cudahy - C 7,vap_aian,11,12,13,14,15,16
Cudahy - C 7,vap_asian,18,18,18,18,18,18
Cudahy - C 7,vap_black,48,49.8,51.6,53.4,55.2,57
Cudahy - C 7,vap_hisp,87,114.4,141.8,169.2,196.60000000000002,224
Cudahy - C 7,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Cudahy - C 7,vap_other,0,2.2,4.4,6.6,8.8,11
Cudahy - C 7,vap_two,13,20.2,27.4,34.599999999999994,41.8,49
Cudahy - C 7,vap_white,847,840.2,833.4,826.6,819.8,813
Cudahy - C 8,vap,729,742.2,755.4,768.6,781.8,795
Cudahy - C 8,vap_aian,12,11.4,10.8,10.2,9.6,9
Cudahy - C 8,vap_asian,12,14.2,16.4,18.6,20.8,23
Cudahy - C 8,vap_black,12,19.4,26.8,34.2,41.6,49
Cudahy - C 8,vap_hisp,65,75,85,95,105,115
Cudahy - C 8,vap_nhpi,2,2,2,2,2,2
Cudahy - C 8,vap_other,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 8,vap_two,12,17.8,23.6,29.4,35.2,41
Cudahy - C 8,vap_white,613,601.6,590.2,578.8,567.4,556
Cudahy - C 9,vap,974,964.6,955.2,945.8,936.4,927
Cudahy - C 9,vap_aian,14,13.2,12.4,11.6,10.8,10
Cudahy - C 9,vap_asian,2,2,2,2,2,2
Cudahy - C 9,vap_black,55,57.4,59.8,62.2,64.6,67
Cudahy - C 9,vap_hisp,127,130.6,134.2,137.8,141.4,145
Cudahy - C 9,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Cudahy - C 9,vap_other,0,0.4,0.8,1.2,1.6,2
Cudahy - C 9,vap_two,11,16.2,21.4,26.6,31.8,37
Cudahy - C 9,vap_white,765,744.6,724.2,703.8,683.4,663
Fox Point - V 1,vap,459,463.2,467.4,471.6,475.8,480
Fox Point - V 1,vap_aian,0,0.2,0.4,0.6,0.8,1
Fox Point - V 1,vap_asian,11,13.6,16.2,18.8,21.4,24
Fox Point - V 1,vap_black,1,2.8,4.6,6.3999999999999995,8.2,10
Fox Point - V 1,vap_hisp,3,4.6,6.2,7.8,9.4,11
Fox Point - V 1,vap_nhpi,0,0,0,0,0,0
Fox Point - V 1,vap_other,0,0.2,0.4,0.6,0.8,1
Fox Point - V 1,vap_two,3,4.4,5.800000000000001,7.2,8.600000000000001,10
Fox Point - V 1,vap_white,441,437.4,433.8,430.2,426.6,423
Fox Point - V 2,vap,583,589.2,595.4,601.6,607.8,614
Fox Point - V 2,vap_aian,0,0,0,0,0,0
Fox Point - V 2,vap_asian,17,18.4,19.8,21.2,22.6,24
Fox Point - V 2,vap_black,13,12.2,11.4,10.6,9.8,9
Fox Point - V 2,vap_hisp,6,7.8,9.6,11.399999999999999,13.2,15
Fox Point - V 2,vap_nhpi,0,0,0,0,0,0
Fox Point - V 2,vap_other,0,0.8,1.6,2.4,3.2,4
Fox Point - V 2,vap_two,5,7.6,10.2,12.8,15.4,18
Fox Point - V 2,vap_white,542,542.4,542.8,543.2,543.6,544
Fox Point - V 3,vap,588,599.8,611.6,623.4,635.2,647
Fox Point - V 3,vap_aian,2,1.6,1.2,0.8,0.3999999999999999,0
Fox Point - V 3,vap_asian,11,11.2,11.4,11.6,11.8,12
Fox Point - V 3,vap_black,2,4.4,6.800000000000001,9.2,11.600000000000001,14
Fox Point - V 3,vap_hisp,9,10.4,11.8,13.2,14.600000000000001,16
Fox Point - V 3,vap_nhpi,0,0,0,0,0,0
Fox Point - V 3,vap_other,3,2.4,1.7999999999999998,1.2000000000000002,0.5999999999999996,0
Fox Point - V 3,vap_two,1,4,7,10,13,16
Fox Point - V 3,vap_white,560,565.8,571.6,577.4,583.2,589
Fox Point - V 4,vap,648,645,642,639,636,633
Fox Point - V 4,vap_aian,0,0,0,0,0,0
Fox Point - V 4,vap_asian,25,25.8,26.6,27.4,28.2,29
Fox Point - V 4,vap_black,61,57.6,54.2,50.8,47.4,44
Fox Point - V 4,vap_hisp,20,25.6,31.200000000000003,36.8,42.400000000000006,48
Fox Point - V 4,vap_nhpi,0,0.8,1.6,2.4,3.2,4
Fox Point - V 4,vap_other,2,2.2,2.4,2.6,2.8,3
Fox Point - V 4,vap_two,9,10.6,12.2,13.8,15.4,17
Fox Point - V 4,vap_white,531,522.4,513.8,505.2,496.6,488
Fox Point - V 5,vap,592,590.4,588.8,587.2,585.6,584
Fox Point - V 5,vap_aian,0,0,0,0,0,0
Fox Point - V 5,vap_asian,22,24,26,28,30,32
Fox Point - V 5,vap_black,19,18,17,16,15,14
Fox Point - V 5,vap_hisp,15,15.8,16.6,17.4,18.2,19
Fox Point - V 5,vap_nhpi,0,0,0,0,0,0
Fox Point - V 5,vap_other,0,1.2000000000000002,2.4000000000000004,3.5999999999999996,4.800000000000001,6
Fox Point - V 5,vap_two,4,4.8,5.6,6.4,7.2,8
Fox Point - V 5,vap_white,532,526.6,521.2,515.8,510.4,505
Fox Point - V 6,vap,397,416.4,435.8,455.2,474.6,494
Fox Point - V 6,vap_aian,1,1.2,1.4,1.6,1.8,2
Fox Point - V 6,vap_asian,10,10,10,10,10,10
Fox Point - V 6,vap_black,3,3.4,3.8,4.2,4.6,5
Fox Point - V 6,vap_hisp,8,9,10,11,12,13
Fox Point - V 6,vap_nhpi,0,0,0,0,0,0
Fox Point - V 6,vap_other,0,1,2,3,4,5
Fox Point - V 6,vap_two,4,5.4,6.800000000000001,8.2,9.600000000000001,11
Fox Point - V 6,vap_white,371,386.4,401.8,417.2,432.6,448
Fox Point - V 7,vap,599,603.4,607.8,612.2,616.6,621
Fox Point - V 7,vap_aian,1,0.8,0.6,0.4,0.19999999999999996,0
Fox Point - V 7,vap_asian,18,16,14,12,10,8
Fox Point - V 7,vap_black,9,10,11,12,13,14
Fox Point - V 7,vap_hisp,11,13.4,15.8,18.2,20.6,23
Fox Point - V 7,vap_nhpi,0,0,0,0,0,0
Fox Point - V 7,vap_other,3,3.6,4.2,4.8,5.4,6
Fox Point - V 7,vap_two,1,5.6000000000000005,10.200000000000001,14.799999999999999,19.400000000000002,24
Fox Point - V 7,vap_white,556,554,552,550,548,546
Fox Point - V 8,vap,681,686.8,692.6,698.4,704.2,710
Fox Point - V 8,vap_aian,0,0.2,0.4,0.6,0.8,1
Fox Point - V 8,vap_asian,59,60.2,61.4,62.6,63.8,65
Fox Point - V 8,vap_black,25,27.2,29.4,31.6,33.8,36
Fox Point - V 8,vap_hisp,20,21.2,22.4,23.6,24.8,26
Fox Point - V 8,vap_nhpi,0,0,0,0,0,0
Fox Point - V 8,vap_other,1,0.8,0.6,0.4,0.19999999999999996,0
Fox Point - V 8,vap_two,4,7.800000000000001,11.600000000000001,15.4,19.200000000000003,23
Fox Point - V 8,vap_white,572,569.4,566.8,564.2,561.6,559
Fox Point - V 9,vap,624,626.6,629.2,631.8,634.4,637
Fox Point - V 9,vap_aian,1,0.8,0.6,0.4,0.19999999999999996,0
Fox Point - V 9,vap_asian,22,25.8,29.6,33.4,37.2,41
Fox Point - V 9,vap_black,21,24.2,27.4,30.6,33.8,37
Fox Point - V 9,vap_hisp,13,13.8,14.6,15.4,16.2,17
Fox Point - V 9,vap_nhpi,0,0,0,0,0,0
Fox Point - V 9,vap_other,0,0.2,0.4,0.6,0.8,1
Fox Point - V 9,vap_two,9,11,13,15,17,19
Fox Point - V 9,vap_white,558,550.8,543.6,536.4,529.2,522
Franklin - C 1,vap,1774,1743.8,1713.6,1683.4,1653.2,1623
Franklin - C 1,vap_aian,3,2.4,1.7999999999999998,1.2000000000000002,0.5999999999999996,0
Franklin - C 1,vap_asian,6,5.6,5.2,4.8,4.4,4
Franklin - C 1,vap_black,1214,1207,1200,1193,1186,1179
Franklin - C 1,vap_hisp,109,120.2,131.4,142.6,153.8,165
Franklin - C 1,vap_nhpi,0,0,0,0,0,0
Franklin - C 1,vap_other,0,0.2,0.4,0.6,0.8,1
Franklin - C 1,vap_two,5,4.2,3.4,2.6,1.7999999999999998,1
Franklin - C 1,vap_white,437,404.2,371.4,338.6,305.79999999999995,273
Franklin - C 10,vap,493,491.6,490.2,488.8,487.4,486
Franklin - C 10,vap_aian,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Franklin - C 10,vap_asian,62,61,60,59,58,57
Franklin - C 10,vap_black,10,8.8,7.6,6.4,5.199999999999999,4
Franklin - C 10,vap_hisp,15,17.4,19.8,22.2,24.6,27
Franklin - C 10,vap_nhpi,0,0,0,0,0,0
Franklin - C 10,vap_other,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Franklin - C 10,vap_two,1,2,3,4,5,6
Franklin - C 10,vap_white,405,401.2,397.4,393.6,389.8,386
Franklin - C 11,vap,1374,1407.8,1441.6,1475.4,1509.2,1543
Franklin - C 11,vap_aian,3,3.4,3.8,4.2,4.6,5
Franklin - C 11,vap_asian,76,84.6,93.2,101.8,110.4,119
