BLOCKID|DISTRICT
550019507001059|014
550019507001060|014
550019507001061|014
550019507001062|014
550019507001063|014
550019507001064|014
550019507001065|014
550019507001066|014
550019507001067|014
550019507001068|014
550019507001069|014
550019507001070|014
550019507001071|014
550019507001072|014
550019507001073|014
550019507001074|014
550019507001075|014
550019507001076|014
550019507001077|014
550019507001078|014
550019507001079|014
550019507001080|014
550019507001081|014
550019507001082|014
550019507001083|014
550019507001084|014
550019507001085|014
550019507001086|014
550019507001087|014
550019507001088|014
550019507001089|014
550019507001090|014
550019507001091|014
550019507001092|014
550019507001093|014
550019507001094|014
550019507001095|014
550019507001096|014
550019507001097|014
550019507001098|014
550019507001099|014
550019507001100|014
550019507001101|014
550019507002000|014
550019507002001|014
550019507002002|014
550019507002003|014
550019507002004|014
550019507002005|014
550019507002006|014
550019507002007|014
550019507002008|014
550019507002009|014
550019507002010|014
550019507002011|014
550019507002012|014
550019507002013|014
550019507002014|014
550019507002015|014
550019507002016|014
550019507002017|014
550019507002018|014
550019507002019|014
550019507002020|014
550019507002021|014
550019507002022|014
550019507002023|014
550019507002024|014
550019507002025|014
550019507002026|014
550019507002027|014
550019507002028|014
550019507002029|014
550019507002030|014
550019507002031|014
550019507002032|014
550019507002033|014
550019507002034|014
550019507002035|014
550019507002036|014
550019507002037|014
550019507002038|014
550019507002039|014
550019507002040|014
550019507002041|014
550019507002042|014
550019507002043|014
550019507002044|014
550019507002045|014
550019507002046|014
550019507002047|014
550019507002048|014
550019507002049|014
550019507002050|014
550019507002051|014
550019507002052|014
550019507002053|014
550019507002054|014
550019507002055|014
550019507002056|014
550019507002057|014
550019507002058|014
550019507002059|014
550019507002060|014
550019507002061|014
550019507002062|014
550019507002063|014
550019507002064|014
550019507002065|014
550019507002066|014
550019507002067|014
550019507002068|014
550019507002069|014
550019507002070|014
550019507002071|014
550019507002072|014
550019507002073|014
550019507002074|014
550019507002075|014
550019507002076|014
550019507002077|014
550019507002078|014
550019507002079|014
550019507002080|014
550019507002081|014
550019507002082|014
550019507002083|014
550019507002084|014
550019507002085|014
550019507002086|014
550019507002087|014
550019507002088|014
550019507002089|014
550019507002090|014
550019507002091|014
550019507002092|014
550019507002093|014
550019507002094|014
550019507002095|014
550019507002096|014
550019507002097|014
550019507002098|014
550019507002099|014
550019507003000|014
550019507003001|014
550019507003002|014
550019507003003|014
550019507003004|014
550019507003005|014
550019507003006|014
550019507003007|014
550019507003008|014
550019507003009|014
550019507003010|014
550019507003011|014
550019507003012|014
550019507003013|014
550019507003014|014
550019507003015|014
550019507003016|014
550019507003017|014
550019507003018|014
550019507003019|014
550019507003020|014
550019507003021|014
550019507003022|014
550019507003023|014
550019507003024|014
550019507003025|014
550019507003026|014
550019507003027|014
550019507003028|014
550019507003029|014
550019507003030|014
550019507003031|014
550019507003032|014
550019507003033|014
550019507003034|014
550019507003035|014
550019507003036|014
550019507003037|014
550019507003038|014
550019507003039|014
550019507003040|014
550019507003041|014
550019507003042|014
550019507003043|014
550019507003044|014
550019507003045|014
550019507003046|014
550019507003047|014
550019507003048|014
550019507003049|014
550019507003050|014
550019507003051|014
550019507003052|014
550019507003053|014
550019507003054|014
550019507003055|014
550019507003056|014
550019507003057|014
550019507003058|014
550019507003059|014
550019507003060|014
550019507003061|014
550019507003062|014
550019507003063|014
550019507003064|014
550019507003065|014
