BLOCKID|PLACEFP
550019505011028|
550019505011029|
550019505011030|
550019505011031|
550019505011032|
550019505011033|
550019505011034|
550019505011035|
550019505011036|
550019505011037|
550019505011038|
550019505011039|
550019505011040|
550019505011041|
550019505011042|
550019505011043|
550019505011044|
550019505011045|
550019505011046|
550019505011047|
550019505011048|
550019505011049|
550019505011050|
550019505011051|
550019505011052|
550019505011053|
550019505011054|
550019505011055|
550019505011056|
550019505011057|
550019505011058|
550019505011059|
550019505011060|
550019505011061|
550019505011062|
550019505011063|
550019505011064|
550019505011065|
550019505011066|
550019505011067|
550019505011068|21975
550019505011069|21975
550019505011070|
550019505011071|
550019505011072|
550019505011073|
550019505011074|
550019505011075|
550019505011076|
550019505011077|
550019505011078|
550019505011079|
550019505011080|
550019505011081|
550019505011082|
550019505011083|
550019505011084|
550019505011085|
550019505011086|
550019505011087|
550019505011088|
550019505011089|
550019505011090|
550019505011091|
550019505011092|
550019505011093|
550019505011094|
550019505011095|
550019505011096|
550019505011097|
550019505011098|
550019505011099|
550019505011100|
550019505011101|
550019505012000|19600
550019505012001|19600
550019505012002|19600
550019505012003|19600
550019505012004|19600
550019505012005|19600
550019505012006|19600
550019505012007|19600
550019505012008|19600
550019505012009|19600
550019505012010|19600
550019505012011|19600
550019505012012|19600
550019505012013|19600
550019505012014|19600
550019505012015|19600
550019505012016|19600
550019505012017|19600
550019505012018|19600
550019505012019|19600
550019505012020|19600
550019505012021|19600
550019505012022|19600
550019505012023|19600
550019505012024|19600
550019505012025|19600
550019505012026|19600
550019505012027|19600
550019505012028|19600
550019505012029|19600
550019505012030|19600
550019505012031|19600
550019505012032|19600
550019505012033|19600
550019505012034|
550019505012035|
550019505012036|19600
550019505012037|19600
550019505012038|19600
550019505012039|19600
550019505012040|19600
550019505012041|19600
550019505012042|19600
550019505012043|19600
550019505012044|19600
550019505012045|19600
550019505012046|19600
550019505012047|19600
550019505012048|19600
550019505012049|19600
550019505012050|19600
550019505012051|19600
550019505012052|19600
550019505012053|19600
550019505012054|19600
550019505012055|19600
550019505012056|19600
550019505012057|19600
550019505012058|19600
550019505012059|19600
550019505012060|19600
550019505012061|19600
550019505012062|19600
550019505012063|19600
550019505012064|19600
550019505012065|19600
550019505012066|19600
550019505012067|19600
550019505012068|19600
550019505012069|19600
550019505012070|19600
550019505012071|19600
550019505012072|19600
550019505012073|19600
550019505012074|19600
550019505012075|19600
550019505012076|19600
550019505012077|19600
550019505012078|19600
550019505012079|19600
550019505012080|19600
550019505012081|19600
550019505012082|19600
550019505012083|19600
550019505012084|19600
550019505012085|19600
550019505012086|19600
550019505012087|19600
550019505012088|19600
550019505012089|19600
550019505012090|19600
550019505012091|19600
550019505012092|19600
550019505012093|19600
550019505012094|19600
550019505012095|19600
550019505012096|19600
550019505012097|19600
550019505012098|19600
550019505012099|19600
550019505012100|19600
550019505012101|19600
550019505012102|19600
550019505012103|19600
550019505012104|19600
550019505012105|19600
550019505012106|19600
550019505012107|19600
550019505012108|19600
550019505012109|19600
550019505012110|19600
550019505012111|
550019505012112|
550019505012113|
550019505012114|
550019505012115|
550019505012116|19600
550019505012117|
550019505012118|
550019505012119|
550019505012120|
550019505021000|
550019505021001|
550019505021002|
550019505021003|
550019505021004|
550019505021005|
550019505021006|
550019505021007|
550019505021008|30100
550019505021009|30100
550019505021010|
550019505021011|
550019505021012|
550019505021013|
550019505021014|
550019505021015|
550019505021016|
550019505021017|
550019505021018|
550019505021019|
550019505021020|
550019505021021|
550019505021022|
550019505021023|
550019505021024|
550019505021025|
550019505021026|
550019505021027|
550019505021028|
550019505021029|
550019505021030|
550019505021031|
550019505021032|
550019505021033|
550019505021034|30100
550019505021035|30100
550019505021036|30100
550019505021037|30100
550019505021038|30100
550019505021039|30100
550019505021040|30100
550019505021041|30100
550019505021042|30100
550019505021043|
550019505021044|
550019505021045|
550019505021046|
550019505021047|
550019505021048|
550019505021049|
550019505021050|
550019505021051|
550019505021052|
550019505021053|
550019505021054|
550019505021055|
550019505021056|
550019505021057|
550019505021058|
550019505021059|
550019505021060|
550019505021061|
550019505022000|
550019505022001|
550019505022002|
550019505022003|
550019505022004|
550019505022005|
550019505022006|
550019505022007|
550019505022008|30100
550019505022009|30100
550019505022010|30100
550019505022011|30100
550019505022012|30100
550019505022013|30100
550019505022014|
550019505022015|
550019505022016|
550019505022017|
550019505022018|
550019505022019|
550019505022020|
550019505022021|30100
550019505022022|30100
550019505022023|
550019505022024|
550019505022025|
550019505022026|
550019505022027|
550019505022028|
550019505022029|
550019505022030|
550019505022031|
550019505022032|
550019505022033|
550019505022034|
550019505022035|
550019505022036|
550019505022037|
550019505022038|
550019505022039|
550019505022040|
550019505022041|
550019505022042|
550019505022043|
550019505022044|
550019505022045|
550019505022046|
550019505022047|
550019505022048|
550019505022049|
550019505022050|
550019505022051|
550019505022052|
550019505022053|
550019505022054|
550019505022055|
550019505022056|
550019505022057|
550019505022058|
550019505022059|
550019505022060|
550019505022061|
550019505022062|
550019505022063|
550019505022064|
550019505022065|
550019505022066|
550019505022067|
550019505022068|
550019505022069|
